torch.Size([14031, 5, 64, 32])
torch.Size([4677, 5, 64, 32])
torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
Epoch: 42, Train Loss = 0.17, Train Recon Loss = 0.17, Train Masked Recon Loss = 0.17, Valid loss = 0.27, Valid Recon Loss = 0.19, Valid Masked Recon Loss = 0.35, lr = 0.00100
Epoch: 43, Train Loss = 0.17, Train Recon Loss = 0.16, Train Masked Recon Loss = 0.17, Valid loss = 0.26, Valid Recon Loss = 0.19, Valid Masked Recon Loss = 0.33, lr = 0.00100
Epoch: 44, Train Loss = 0.17, Train Recon Loss = 0.16, Train Masked Recon Loss = 0.17, Valid loss = 0.26, Valid Recon Loss = 0.19, Valid Masked Recon Loss = 0.34, lr = 0.00100
Epoch: 45, Train Loss = 0.16, Train Recon Loss = 0.16, Train Masked Recon Loss = 0.17, Valid loss = 0.26, Valid Recon Loss = 0.18, Valid Masked Recon Loss = 0.33, lr = 0.00100
Epoch: 46, Train Loss = 0.16, Train Recon Loss = 0.16, Train Masked Recon Loss = 0.16, Valid loss = 0.25, Valid Recon Loss = 0.19, Valid Masked Recon Loss = 0.32, lr = 0.00100
Epoch: 47, Train Loss = 0.16, Train Recon Loss = 0.16, Train Masked Recon Loss = 0.16, Valid loss = 0.25, Valid Recon Loss = 0.18, Valid Masked Recon Loss = 0.32, lr = 0.00100
Epoch: 48, Train Loss = 0.16, Train Recon Loss = 0.16, Train Masked Recon Loss = 0.16, Valid loss = 0.25, Valid Recon Loss = 0.18, Valid Masked Recon Loss = 0.32, lr = 0.00100
Epoch: 49, Train Loss = 0.16, Train Recon Loss = 0.16, Train Masked Recon Loss = 0.16, Valid loss = 0.25, Valid Recon Loss = 0.18, Valid Masked Recon Loss = 0.32, lr = 0.00100
Epoch: 50, Train Loss = 0.16, Train Recon Loss = 0.16, Train Masked Recon Loss = 0.16, Valid loss = 0.23, Valid Recon Loss = 0.18, Valid Masked Recon Loss = 0.29, lr = 0.00100
Epoch: 51, Train Loss = 0.16, Train Recon Loss = 0.16, Train Masked Recon Loss = 0.16, Valid loss = 0.23, Valid Recon Loss = 0.17, Valid Masked Recon Loss = 0.29, lr = 0.00100
Epoch: 52, Train Loss = 0.16, Train Recon Loss = 0.15, Train Masked Recon Loss = 0.16, Valid loss = 0.23, Valid Recon Loss = 0.18, Valid Masked Recon Loss = 0.29, lr = 0.00100
Epoch: 53, Train Loss = 0.15, Train Recon Loss = 0.15, Train Masked Recon Loss = 0.15, Valid loss = 0.23, Valid Recon Loss = 0.17, Valid Masked Recon Loss = 0.28, lr = 0.00100
Epoch: 54, Train Loss = 0.15, Train Recon Loss = 0.15, Train Masked Recon Loss = 0.15, Valid loss = 0.22, Valid Recon Loss = 0.17, Valid Masked Recon Loss = 0.27, lr = 0.00100
Epoch: 55, Train Loss = 0.15, Train Recon Loss = 0.15, Train Masked Recon Loss = 0.15, Valid loss = 0.22, Valid Recon Loss = 0.17, Valid Masked Recon Loss = 0.26, lr = 0.00100
Epoch: 56, Train Loss = 0.15, Train Recon Loss = 0.15, Train Masked Recon Loss = 0.15, Valid loss = 0.21, Valid Recon Loss = 0.17, Valid Masked Recon Loss = 0.25, lr = 0.00100
Epoch: 57, Train Loss = 0.15, Train Recon Loss = 0.15, Train Masked Recon Loss = 0.15, Valid loss = 0.21, Valid Recon Loss = 0.17, Valid Masked Recon Loss = 0.25, lr = 0.00100
Epoch: 58, Train Loss = 0.15, Train Recon Loss = 0.15, Train Masked Recon Loss = 0.15, Valid loss = 0.20, Valid Recon Loss = 0.17, Valid Masked Recon Loss = 0.24, lr = 0.00100
Epoch: 59, Train Loss = 0.15, Train Recon Loss = 0.15, Train Masked Recon Loss = 0.15, Valid loss = 0.20, Valid Recon Loss = 0.17, Valid Masked Recon Loss = 0.23, lr = 0.00100
Epoch: 60, Train Loss = 0.15, Train Recon Loss = 0.14, Train Masked Recon Loss = 0.15, Valid loss = 0.20, Valid Recon Loss = 0.17, Valid Masked Recon Loss = 0.24, lr = 0.00100
Epoch: 61, Train Loss = 0.15, Train Recon Loss = 0.14, Train Masked Recon Loss = 0.15, Valid loss = 0.20, Valid Recon Loss = 0.17, Valid Masked Recon Loss = 0.22, lr = 0.00100
Epoch: 62, Train Loss = 0.15, Train Recon Loss = 0.14, Train Masked Recon Loss = 0.15, Valid loss = 0.20, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.23, lr = 0.00100
Epoch: 63, Train Loss = 0.14, Train Recon Loss = 0.14, Train Masked Recon Loss = 0.15, Valid loss = 0.20, Valid Recon Loss = 0.17, Valid Masked Recon Loss = 0.23, lr = 0.00100
Epoch: 64, Train Loss = 0.14, Train Recon Loss = 0.14, Train Masked Recon Loss = 0.15, Valid loss = 0.20, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.23, lr = 0.00100
Epoch: 65, Train Loss = 0.14, Train Recon Loss = 0.14, Train Masked Recon Loss = 0.14, Valid loss = 0.19, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.22, lr = 0.00100
Epoch: 66, Train Loss = 0.14, Train Recon Loss = 0.14, Train Masked Recon Loss = 0.14, Valid loss = 0.20, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.23, lr = 0.00100
Epoch: 67, Train Loss = 0.14, Train Recon Loss = 0.14, Train Masked Recon Loss = 0.14, Valid loss = 0.19, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.21, lr = 0.00100
Epoch: 68, Train Loss = 0.14, Train Recon Loss = 0.14, Train Masked Recon Loss = 0.14, Valid loss = 0.19, Valid Recon Loss = 0.16, Valid Masked Recon Loss = 0.22, lr = 0.00100
