nohup: ignoring input
torch.Size([14031, 5, 64, 32])
torch.Size([4677, 5, 64, 32])
torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
Fine Tuning Both
Epoch: 44, Alpha: 0.64, Total Train Loss: 3.24, Contrastive Train Loss: 4.90, Recon Train Loss: 0.23, Total Valid Loss: 5.04, Contrastive Valid Loss: 7.68, Recon Valid Loss: 0.26, Learning Rate: 0.0001
Epoch: 45, Alpha: 0.64, Total Train Loss: 3.21, Contrastive Train Loss: 4.90, Recon Train Loss: 0.23, Total Valid Loss: 5.01, Contrastive Valid Loss: 7.71, Recon Valid Loss: 0.25, Learning Rate: 0.0001
Epoch: 46, Alpha: 0.63, Total Train Loss: 3.18, Contrastive Train Loss: 4.90, Recon Train Loss: 0.23, Total Valid Loss: 4.97, Contrastive Valid Loss: 7.72, Recon Valid Loss: 0.25, Learning Rate: 0.0001
Epoch: 47, Alpha: 0.63, Total Train Loss: 3.14, Contrastive Train Loss: 4.90, Recon Train Loss: 0.23, Total Valid Loss: 4.90, Contrastive Valid Loss: 7.69, Recon Valid Loss: 0.25, Learning Rate: 0.0001
Epoch: 48, Alpha: 0.62, Total Train Loss: 3.11, Contrastive Train Loss: 4.89, Recon Train Loss: 0.23, Total Valid Loss: 4.88, Contrastive Valid Loss: 7.74, Recon Valid Loss: 0.25, Learning Rate: 0.0001
Epoch: 49, Alpha: 0.61, Total Train Loss: 3.08, Contrastive Train Loss: 4.89, Recon Train Loss: 0.22, Total Valid Loss: 4.81, Contrastive Valid Loss: 7.70, Recon Valid Loss: 0.24, Learning Rate: 0.0001
Epoch: 50, Alpha: 0.61, Total Train Loss: 3.05, Contrastive Train Loss: 4.88, Recon Train Loss: 0.22, Total Valid Loss: 4.77, Contrastive Valid Loss: 7.71, Recon Valid Loss: 0.24, Learning Rate: 0.0001
Epoch: 51, Alpha: 0.60, Total Train Loss: 3.02, Contrastive Train Loss: 4.88, Recon Train Loss: 0.22, Total Valid Loss: 4.72, Contrastive Valid Loss: 7.71, Recon Valid Loss: 0.24, Learning Rate: 0.0001
Epoch: 52, Alpha: 0.59, Total Train Loss: 2.99, Contrastive Train Loss: 4.88, Recon Train Loss: 0.22, Total Valid Loss: 4.69, Contrastive Valid Loss: 7.73, Recon Valid Loss: 0.24, Learning Rate: 0.0001
Epoch: 53, Alpha: 0.59, Total Train Loss: 2.96, Contrastive Train Loss: 4.88, Recon Train Loss: 0.22, Total Valid Loss: 4.63, Contrastive Valid Loss: 7.70, Recon Valid Loss: 0.24, Learning Rate: 0.0001
Epoch: 54, Alpha: 0.58, Total Train Loss: 2.93, Contrastive Train Loss: 4.88, Recon Train Loss: 0.21, Total Valid Loss: 4.60, Contrastive Valid Loss: 7.73, Recon Valid Loss: 0.24, Learning Rate: 0.0001
Epoch: 55, Alpha: 0.58, Total Train Loss: 2.90, Contrastive Train Loss: 4.88, Recon Train Loss: 0.21, Total Valid Loss: 4.54, Contrastive Valid Loss: 7.70, Recon Valid Loss: 0.23, Learning Rate: 0.0001
Epoch: 56, Alpha: 0.57, Total Train Loss: 2.88, Contrastive Train Loss: 4.88, Recon Train Loss: 0.21, Total Valid Loss: 4.50, Contrastive Valid Loss: 7.71, Recon Valid Loss: 0.23, Learning Rate: 0.0001
Epoch: 57, Alpha: 0.57, Total Train Loss: 2.85, Contrastive Train Loss: 4.88, Recon Train Loss: 0.21, Total Valid Loss: 4.47, Contrastive Valid Loss: 7.73, Recon Valid Loss: 0.23, Learning Rate: 0.0001
Epoch: 58, Alpha: 0.56, Total Train Loss: 2.82, Contrastive Train Loss: 4.87, Recon Train Loss: 0.20, Total Valid Loss: 4.42, Contrastive Valid Loss: 7.72, Recon Valid Loss: 0.23, Learning Rate: 0.0001
Epoch: 59, Alpha: 0.55, Total Train Loss: 2.79, Contrastive Train Loss: 4.87, Recon Train Loss: 0.20, Total Valid Loss: 4.38, Contrastive Valid Loss: 7.72, Recon Valid Loss: 0.22, Learning Rate: 0.0001
Epoch: 60, Alpha: 0.55, Total Train Loss: 2.76, Contrastive Train Loss: 4.87, Recon Train Loss: 0.20, Total Valid Loss: 4.35, Contrastive Valid Loss: 7.74, Recon Valid Loss: 0.22, Learning Rate: 0.0001
Epoch: 61, Alpha: 0.54, Total Train Loss: 2.74, Contrastive Train Loss: 4.87, Recon Train Loss: 0.20, Total Valid Loss: 4.31, Contrastive Valid Loss: 7.75, Recon Valid Loss: 0.22, Learning Rate: 0.0001
Epoch: 62, Alpha: 0.54, Total Train Loss: 2.71, Contrastive Train Loss: 4.86, Recon Train Loss: 0.20, Total Valid Loss: 4.27, Contrastive Valid Loss: 7.74, Recon Valid Loss: 0.22, Learning Rate: 0.0001
